time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
2.700000000000002,0.0,0.0,63.0955039983,0.0,0.0,0.0,0.0,0.0,28.1392249093,0.0,0.0,0.0
2.760000000000002,0.0,0.0,64.7840075523,0.0,0.0,0.0,0.0,0.0,28.1441041102,0.0,0.0,0.0
2.820000000000002,0.0,0.0,66.4728182168,0.0,0.0,0.0,0.0,0.0,28.1494501565,0.0,0.0,0.0
2.880000000000002,0.0,0.0,68.1619796108,0.0,0.0,0.0,0.0,0.0,28.1557705354,0.0,0.0,0.0
2.940000000000002,0.0,0.0,69.8514725111,0.0,0.0,0.0,0.0,0.0,28.1605394006,0.0,0.0,0.0
3.000000000000002,0.0,0.0,71.5412322749,0.0,0.0,0.0,0.0,0.0,28.1646817391,0.0,0.0,0.0
3.0600000000000023,0.0,0.0,73.2312325103,0.0,0.0,0.0,0.0,0.0,28.1685617178,0.0,0.0,0.0
3.1200000000000023,0.0,0.0,74.9214541463,0.0,0.0,0.0,0.0,0.0,28.1720710791,0.0,0.0,0.0
3.1800000000000024,0.0,0.0,76.6118710474,0.0,0.0,0.0,0.0,0.0,28.1750830774,0.0,0.0,0.0
3.2400000000000024,0.0,0.0,78.3024056836,0.0,0.0,0.0,0.0,0.0,28.1760471709,0.0,0.0,0.0
3.3000000000000025,0.0,0.0,79.9930439627,0.0,0.0,0.0,0.0,0.0,28.1785003216,0.0,0.0,0.0
3.3600000000000025,0.0,0.0,81.6838057196,0.0,0.0,0.0,0.0,0.0,28.1801825194,0.0,0.0,0.0
3.4200000000000026,0.0,0.0,83.3746108841,0.0,0.0,0.0,0.0,0.0,28.1799943717,0.0,0.0,0.0
3.4800000000000026,0.0,0.0,85.0653763963,0.0,0.0,0.0,0.0,0.0,28.1788840153,0.0,0.0,0.0
3.5400000000000027,0.0,0.0,86.756046252,0.0,0.0,0.0,0.0,0.0,28.1768296073,0.0,0.0,0.0
3.6000000000000028,0.0,0.0,88.4465407912,0.0,0.0,0.0,0.0,0.0,28.1730827698,0.0,0.0,0.0
3.660000000000003,0.0,0.0,90.1368323934,0.0,0.0,0.0,0.0,0.0,28.170047113,0.0,0.0,0.0
3.720000000000003,0.0,0.0,91.8269845275,0.0,0.0,0.0,0.0,0.0,28.1683988741,0.0,0.0,0.0
3.780000000000003,0.0,0.0,93.5170476443,0.0,0.0,0.0,0.0,0.0,28.1670717827,0.0,0.0,0.0
3.840000000000003,0.0,0.0,95.2070454744,0.0,0.0,0.0,0.0,0.0,28.1662109025,0.0,0.0,0.0
3.900000000000003,0.0,0.0,96.8970146113,0.0,0.0,0.0,0.0,0.0,28.1660965403,0.0,0.0,0.0
3.960000000000003,0.0,0.0,98.5869752894,0.0,0.0,0.0,0.0,0.0,28.1659302534,0.0,0.0,0.0
4.020000000000002,0.0,0.0,100.276901883,0.0,0.0,0.0,0.0,0.0,28.164980142,0.0,0.0,0.0
4.080000000000001,0.0,0.0,101.966794683,0.0,0.0,0.0,0.0,0.0,28.1647847506,0.0,0.0,0.0
4.14,0.0,0.0,103.656631983,0.0,0.0,0.0,0.0,0.0,28.1631660323,0.0,0.0,0.0
4.199999999999998,0.0,0.0,105.346386613,0.0,0.0,0.0,0.0,0.0,28.1620172274,0.0,0.0,0.0
4.259999999999997,0.0,0.0,107.036116133,0.0,0.0,0.0,0.0,0.0,28.162293147,0.0,0.0,0.0
4.319999999999996,0.0,0.0,108.725907039,0.0,0.0,0.0,0.0,0.0,28.1640267481,0.0,0.0,0.0
4.379999999999995,0.0,0.0,110.415804547,0.0,0.0,0.0,0.0,0.0,28.1658444055,0.0,0.0,0.0
4.439999999999993,0.0,0.0,112.105785307,0.0,0.0,0.0,0.0,0.0,28.1668229539,0.0,0.0,0.0
4.499999999999992,0.0,0.0,113.795721501,0.0,0.0,0.0,0.0,0.0,28.1644434267,0.0,0.0,0.0
4.559999999999991,0.0,0.0,115.485579422,0.0,0.0,0.0,0.0,0.0,28.1641610456,0.0,0.0,0.0
4.6199999999999894,0.0,0.0,117.175414054,0.0,0.0,0.0,0.0,0.0,28.163672343,0.0,0.0,0.0
4.679999999999988,0.0,0.0,118.865200113,0.0,0.0,0.0,0.0,0.0,28.1625576817,0.0,0.0,0.0
4.739999999999987,0.0,0.0,120.554940279,0.0,0.0,0.0,0.0,0.0,28.1621254111,0.0,0.0,0.0
4.799999999999986,0.0,0.0,122.244626083,0.0,0.0,0.0,0.0,0.0,28.1607688956,0.0,0.0,0.0
4.859999999999984,0.0,0.0,123.934231954,0.0,0.0,0.0,0.0,0.0,28.1594597531,0.0,0.0,0.0
4.919999999999983,0.0,0.0,125.62374768,0.0,0.0,0.0,0.0,0.0,28.1577735787,0.0,0.0,0.0
4.979999999999982,0.0,0.0,127.313113989,0.0,0.0,0.0,0.0,0.0,28.1545186809,0.0,0.0,0.0
5.0399999999999805,0.0,0.0,129.002342256,0.0,0.0,0.0,0.0,0.0,28.1531252925,0.0,0.0,0.0
