time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.3474448052e-08,2.5575497085e-07,10.0074793779,0.000211175919194,6.28307189624,0.0,9.4524479023e-06,2.26169271471e-05,0.249290849007,0.00976467167139,-0.00596763782199,0.0,481.66605235446974,481.214651000223,482.0871875083469,482.8242546603536
0.12000000000000001,4.81830690257e-06,9.67709025854e-06,10.030116133,0.000757164567853,6.28300793732,0.0,0.000172932487985,0.000362243168754,0.505189336578,0.00773576212848,0.00727631637937,0.0,483.922925697976,484.9186841885996,483.53641164362665,483.38343852820003
0.18,1.72598100019e-05,5.27654841404e-05,10.0682311507,0.00101632230541,0.00055653132555,0.0,0.000166339679339,0.00112072215745,0.765173492447,-0.00358143801599,0.020651562529,0.0,485.2658667834976,486.26857569439454,485.2907314134901,484.44056035865157
0.23999999999999996,8.77758329316e-06,0.000142819742956,10.1195936631,0.00101852901767,0.00205393269102,0.0,-0.00060638401875,0.00186977553054,0.946777087001,0.00643729017579,0.0324131733581,0.0,461.31622968553984,462.24397302169194,463.19650232852337,463.9836250656314
0.3,-8.18095265259e-05,0.000279528408388,10.1812315585,0.00101508896434,0.00371034206318,0.0,-0.00261533843357,0.00271381924884,1.10767656434,-0.0180405340755,0.015655611159,0.0,456.8499130863677,455.5121259514935,458.25379121456734,456.3041533209771
0.36000000000000004,-0.000322000450755,0.000459601988534,10.2512956163,6.28298832683,0.00518358359055,0.0,-0.0055215794757,0.00316853341305,1.22767010171,-0.0249159138737,0.038137269783,0.0,443.4836721366444,445.3263175888955,444.75033481460554,444.18693924879904
0.4200000000000001,-0.00076068722775,0.000641053088905,10.3263961294,6.28186434148,0.00777479046731,0.0,-0.00933253113719,0.00275847484521,1.27562633961,-0.00858959810337,0.0517409844932,0.0,420.6996394992622,421.87689196264824,421.19979295451384,422.6092391478439
0.48000000000000015,-0.00149507736158,0.000776865980463,10.406176539,6.28110986149,0.0105888852737,0.0,-0.0154538822688,0.00170485437332,1.3835931106,-0.0220557180642,0.0348483602507,0.0,441.8985325580126,440.5052690777444,441.46081841103177,440.34848561569345
0.5400000000000001,-0.00262602939734,0.000836042574842,10.4900846248,6.27965617491,0.0122317024343,0.0,-0.0224219004178,0.000140969910546,1.4133042623,-0.0289707827549,0.00504459951863,0.0,416.66231138736265,414.048975033437,416.85539636833505,416.25061274098454
0.6000000000000002,-0.00423847196352,0.000760720018365,10.5789565134,6.27773788895,0.0126208828854,0.0,-0.0313613257329,-0.00284629749155,1.54891660797,-0.0387719945686,0.0092243386158,0.0,450.34193695243897,450.679760561176,449.9682630658789,449.17380728363304
0.6600000000000003,-0.00633591497514,0.000490181581711,10.6711943574,6.2752938614,0.0130551213428,0.0,-0.0385955216373,-0.00637136033999,1.52570767684,-0.0449770969051,0.00293334731524,0.0,399.22734200390926,398.6528611502275,398.1094903173179,397.54027205213833
0.7200000000000003,-0.00892678296238,-6.85753890904e-05,10.7661027229,6.27250511185,0.0131389757856,0.0,-0.0477784746018,-0.012537112148,1.63774765141,-0.0496654460015,-0.00186619282513,0.0,444.1812819036051,443.7875091446647,442.25301833517244,441.86541818106065
0.7800000000000004,-0.0121279675182,-0.00110663699637,10.8722093894,6.26993143018,0.0128505314045,0.0,-0.0588983545209,-0.0224065597051,1.89874137089,-0.0319669389176,-0.011456653536,0.0,488.74516147530596,488.02999624814044,486.6882565145797,488.01009849756645
0.8400000000000004,-0.0159083902293,-0.00271466331216,10.9878466399,6.26801321854,0.0118049762464,0.0,-0.0670356064397,-0.0313764472813,1.95573585569,-0.0319767038252,-0.0333620384613,0.0,427.93891030353933,426.07031594703295,426.2932507701496,426.29199544585276
0.9000000000000005,-0.0201985698014,-0.00496125898634,11.1109678512,6.26584627752,0.00972695203869,0.0,-0.0757309434465,-0.0437391116447,2.14796219569,-0.0460394997353,-0.0373062112162,0.0,468.89785763646574,468.5909290428983,469.59084155474176,468.4982152197758
0.9600000000000005,-0.0249315098398,-0.00794801209062,11.2424830857,6.26281978689,0.00724210820374,0.0,-0.0817974231861,-0.0561044201358,2.23570790561,-0.0611427761368,-0.0512465980833,0.0,438.41892412218954,437.2581844517598,437.8553467180576,436.59536223310073
1.0200000000000005,-0.0299817360319,-0.011760954502,11.3802749716,6.26027290866,0.00413462386635,0.0,-0.0862170567777,-0.0713002263823,2.35710763211,-0.0195109086011,-0.0529034913093,0.0,449.0139170337568,448.8777835785902,446.3249757259415,449.70832784778776
1.0800000000000005,-0.0352217208958,-0.0164728693527,11.5227963913,6.25881026598,0.00116076010562,0.0,-0.0881651176173,-0.0858816217714,2.39352855152,-0.0365195708161,-0.0436083932057,0.0,422.1194398665691,422.91907791355175,421.84901576540415,420.37761311607443
1.1400000000000006,-0.0405255792335,-0.0221267032327,11.6690027244,6.25740357032,6.28163673504,0.0,-0.08836421255,-0.102746835718,2.47982791478,-0.00537945777432,-0.0484436523743,0.0,437.15733505164485,436.753029515274,438.054913011219,440.6364869576759
1.2000000000000006,-0.0457753132367,-0.0289436341463,11.8253775995,6.2573941915,6.27890599798,0.0,-0.0862780228064,-0.124488402159,2.73209858891,0.00865039704037,-0.0402154344312,0.0,488.76294272968437,489.3747571447932,487.3319799075066,488.3795238316184
